trial,accuracy,kappa,bands,status;;;;;;;;;;;;;;
19,62.00,0.325,NDMI;Granulo_7;TNDI;GLCM_SR_B6_ent_3;Clay_Ratio;BSI;EVI;TCW;TCG;Fe_Composite_Index;GLCM_SR_B6_idm_7;GLCM_SR_B5_contrast_7;GLCM_SR_B6_idm_3;NDBI;WDI,OK
20,56.33,0.284,GLCM_SR_B6_var_3;Granulo_7;GLCM_SR_B6_idm_3;NDBI;TCG;TCB;GLCM_SR_B5_contrast_3;TNR;Open_3;GLCM_SR_B5_contrast_7;GLCM_SR_B6_idm_7;NDMI;Fe_Oxide_Index;NDWI;Clay_Ratio,OK
21,56.33,0.284,TCB;TNR;MNDWI;Granulo_7;NDBI;GLCM_SR_B6_contrast_3;Close_3;GLCM_SR_B5_var_3;GLCM_SR_B7_contrast_3;NDWI;Clay_Ratio;GLCM_SR_B5_contrast_7;SAVI;WDI;GLCM_SR_B6_idm_3,OK
22,58.67,0.301,Fe_Oxide_Index;GLCM_SR_B5_var_3;TCW;GLCM_SR_B6_idm_3;GLCM_SR_B6_ent_3;Fe_Composite_Index;NDWI;GLCM_SR_B7_contrast_3;TNDI;WDI;NDMI;Open_3;EVI;Clay_Ratio;GLCM_SR_B5_contrast_7,OK
23,52.00,0.252,GLCM_SR_B6_ent_7;NDMI;Granulo_7;GLCM_SR_B7_contrast_3;TCG;Fe_Composite_Index;TCI;Fe_Oxide_Index;GLCM_SR_B6_var_3;GLCM_SR_B5_contrast_7;Open_3;GLCM_SR_B5_var_3;BSI;TNR;GLCM_SR_B6_contrast_3,OK
24,59.67,0.309,EVI;Open_3;NDBI;TCG;NDVI;GLCM_SR_B5_contrast_3;BSI;SAVI;GLCM_SR_B6_var_3;Fe_Oxide_Index;TCB;GLCM_SR_B6_ent_7;Fe_Composite_Index;GLCM_SR_B6_ent_3;TNDI,OK
25,57.00,0.298,Open_3;GLCM_SR_B7_contrast_3;Close_3;GLCM_SR_B6_idm_3;NBLI;GLCM_SR_B5_var_3;GLCM_SR_B5_contrast_7;GLCM_SR_B5_contrast_3;TNDI;WDI;GLCM_SR_B6_contrast_7;Fe_Oxide_Index;GLCM_SR_B6_idm_7;TCG;Granulo_7,OK
26,56.33,0.284,NDWI;Granulo_7;NDBI;NDVI;TCW;GLCM_SR_B6_ent_7;TCI;GLCM_SR_B5_var_3;NBLI;Clay_Index;TCB;GLCM_SR_B6_var_3;Clay_Ratio;TNR;WDI,OK
27,55.67,0.288,GLCM_SR_B6_var_3;GLCM_SR_B7_contrast_3;Close_3;GLCM_SR_B5_var_3;GLCM_SR_B6_idm_7;NDWI;TNDI;Fe_Oxide_Index;BSI;GLCM_SR_B6_contrast_3;TCI;Clay_Ratio;GLCM_SR_B6_ent_3;GLCM_SR_B6_contrast_7;Open_3,OK
28,57.00,0.289,GLCM_SR_B7_contrast_3;Fe_Oxide_Index;GLCM_SR_B6_contrast_7;TCG;GLCM_SR_B6_ent_7;TCB;TNDI;NDVI;BSI;Fe_Composite_Index;GLCM_SR_B6_contrast_3;GLCM_SR_B6_idm_7;TNR;Granulo_7;NDMI,OK
